" Copy"," نسخة"
"Action","إجراء"
"Add New Template","Add New Template"
"Add to Queue","Add to Queue"
"Are you sure that you want to delete this template?","Are you sure that you want to delete this template?"
"Are you sure that you want to strip all tags?","Are you sure that you want to strip all tags?"
"Back","العودة"
"Cancel","إلغاء"
"Cancelled","تم الإلغاء"
"Cannot delete subscriber","Cannot delete subscriber"
"Cannot delete template","Cannot delete template"
"Cannot mark as received subscriber","Cannot mark as received subscriber"
"Cannot save your subscription: %s","لا يمكن حفظ اشتراكك: %s"
"Confirmation Email Sender","Confirmation Email Sender"
"Confirmation Email Template","Confirmation Email Template"
"Confirmation request has been sent","تم إرسال الطلب التأكيدي"
"Convert to Plain Text","Convert to Plain Text"
"Create Newsletter Template","Create Newsletter Template"
"Customer","الزبون"
"Customer Firstname","الاسم الأول للزبون"
"Customer Lastname","اسم العائلة للزبون
"Date Added","Date Added"
"Date Updated","تم تحديث التاريخ"
"Delete Selected Problems","Delete Selected Problems"
"Delete Template","Delete Template"
"Do you really want to cancel the queue?","Do you really want to cancel the queue?"
"Duplicate of template code","Duplicate of template code"
"Edit Newsletter","تحرير النشرة البريدية"
"Edit Newsletter Template","Edit Newsletter Template"
"Edit Queue","Edit Queue"
"Edit Template","Edit Template"
"Email","البريد الإلكتروني"
"Enter your email address","أدخل بريدك الإلكتروني"
"Error Code","Error Code"
"Error Text","Error Text"
"Form was filled incorrectly","تمت تعبئة النموذج بطريقة غير صحيحة"
"Guest","زائر"
"ID","الرمز التعريفي"
"Invalid queue selected","Invalid queue selected"
"Invalid subscriber ID","Invalid subscriber ID"
"Invalid subscription ID","Invalid subscription ID"
"Invalid subscription confirmation code","كود تأكيد الإشتراك غير صحيح"
"Message","رسالة"
"Need to Confirm","Need to Confirm"
"New Newsletter Template","New Newsletter Template"
"New Template","New Template"
"Newsletter","النشرة البريدية"
"Newsletter Message Preview","Newsletter Message Preview"
"Newsletter Problem Reports","Newsletter Problem Reports"
"Newsletter Queue","Newsletter Queue"
"Newsletter Section","Newsletter Section"
"Newsletter Sign-up","تسجيل الإشتراك في النشرة البريدية"
"Newsletter Subscribers","Newsletter Subscribers"
"Newsletter Subscription","Newsletter Subscription"
"Newsletter Subscriptions","إشتراكات القائمة البريدية"
"Newsletter Templates","Newsletter Templates"
"Newsletter subscription confirmation","تأكيد الإشتراك في النشرة البريدية"
"Newsletter subscription success","تم الإشتراك في القائمة البريدية بنجاح"
"Newsletter unsubscription success","تم إلغاء الإشتراك في القائمة البريدية بنجاح"
"No Templates Found","No Templates Found"
"No problems found","لا يوجد مشاكل"
"No subscribers selected","No subscribers selected"
"Not Sent","لم يتم الإرسال"
"Not activated","لم يتم التفعيل"
"Pause","توقيف"
"Paused","توقف"
"Please enter a valid email address","Please enter a valid email address"
"Please enter new template name","من فضلك قم بإدخال اسم قالب جديد"
"Please select subscriber(s)","من فضلك اختر مشترك/مشتركين"
"Preview","معاينة"
"Preview Template","معاينة القالب"
"Processed","تجهيز"
"Queue Date Start","بدء تاريخ الصف"
"Queue Finish","انتهاء الصف"
"Queue Information","معلومات الصف"
"Queue Newsletter","نشرة الصف"
"Queue Start","بداية الصف"
"Queue Subject","موضوع الصف"
"Recipients","المستلمون"
"Reset","اعادة وضع"
"Resume","استئناف"
"Return Html Version","العودة النسخه لغة تأشير النص الفائق"
"Save And Resume","حفظ و استئناف"
"Save As","حفظ باسم"
"Save Newsletter","حفظ النشرة البريدية"
"Save Template","حفظ قالب"
"Selected problem subscribers successfully unsubscribed","مشكلة اختيار المشتركين اشتراكك بنجاح"
"Selected problems successfully deleted","تم حذف المشاكل المختارة بنجاح"
"Sender","المرسل"
"Sender Email","البريد الإلكتروني للمرسل"
"Sender Name","اسم المرسل"
"Sending","جار الإرسال"
"Sending Options","Sending Options"
"Sent","تم الإرسال"
"Set Return-Path","Set Return-Path"
"Sign me up","اشترك الان"
"Sign up for our newsletter:","قم بالاشتراك في نشرتنا البريدية:"
"Start","ابدء"
"Status","الحالة"
"Store","المتجر"
"Store View","عرض المتجر"
"Subject","العنوان"
"Subscribe","اشتراك"
"Subscribed","Subscribed"
"Subscriber","مشترك"
"Subscribers","مشتركون"
"Subscribers From","مشتركون من"
"Subscription Options","خيارات الاشتراك"
"Success Email Sender","نجاح ارسال الرساله الالكترونية"
"Success Email Template","نجاح قالب البريد الالكتروني"
"Template Content","محتويات القالب"
"Template Information","بيانات القالب"
"Template Name","اسم القالب"
"Template Subject","عنوان القالب"
"Template Type","نوع القالب"
"Thank you for your subscription.","تم الإشتراك في قائمة خضرجي.كوم البريدية بنجاح."
"The subscription was successfully saved","تم حفظ الاشتراك بنجاح"
"There was a problem with the subscription","يوجد مشكلة بالاشتراك"
"There was a problem with the subscription: %s","يوجد مشكلة بالاشتراك: %s"
"There was a problem with the un-subscription.","يوجد مشكلة بإلغاء الاشتراك."
"There was an error while saving your subscription","يوجد خطأ أثناء حفظ اشتراكك"
"Toggle Editor","تحرير المسمار"
"Type","نوع"
"Unsubscribe","قم بإلغاء الاشتراك"
"Unsubscribe Selected","الغاء الاشتراك مختارة"
"Unsubscribed","Unsubscribed"
"Unsubscription Email Sender","الغاء الاشتراك البريد الالكتروني للمرسل"
"Unsubscription Email Template","الغاء الاشتراك البريد الالكتروني قالب"
"View Newsletter","عرض النشرة البريدية"
"Website","الموقع"
"You have been successfully unsubscribed.","تم إلغاء اشتراكك بنجاح."
"Your subscription was successfully confirmed","تم تأكيد اشتراكك بنجاح"
"Sign up for our newsletter:","Sign up for our newsletter:"
"Subscribe","إشتراك"
"Newsletter","القائمة البريدية"
"Sign up for our newsletter","الإشتراك في القائمة البريدية"
"Newsletter Subscriptions","إشتراكات القوائم البريدية"
